equipo,ciudad,estadio
River Plate,Buenos Aires,Monumental
Boca Juniors,Buenos Aires,Alberto J. Armando (La Bombonera)
Racing Club,Avellaneda,Presidente Perón (El Cilindro)
Independiente,Avellaneda,Libertadores de América - Ricardo Enrique Bochini
San Lorenzo,Buenos Aires,Pedro Bidegain (Nuevo Gasómetro)
Huracán,Buenos Aires,Tomás Adolfo Ducó
Argentinos Juniors,Buenos Aires,Diego Armando Maradona
Vélez Sarsfield,Buenos Aires,José Amalfitani
Lanús,Lanús,Ciudad de Lanús - Néstor Díaz Pérez
Banfield,Banfield,Florencio Sola
Tigre,Victoria,José Dellagiovanna
Arsenal de Sarandí,Sarandí,Julio Humberto Grondona
Platense,Florida,Ciudad de Vicente López
Defensa y Justicia,Florencio Varela,Norberto "Tito" Tomaghello
Estudiantes de La Plata,La Plata,Jorge Luis Hirschi
Gimnasia y Esgrima La Plata,La Plata,Juan Carmelo Zerillo
Rosario Central,Rosario,Gigante de Arroyito
Newell's Old Boys,Rosario,Marcelo Bielsa (Coloso del Parque)
Atlético Tucumán,San Miguel de Tucumán,Monumental José Fierro
Central Córdoba (SdE),Santiago del Estero,Único Madre de Ciudades
Godoy Cruz,Mendoza,Malvinas Argentinas
Instituto,Córdoba,Monumental de Alta Córdoba
Belgrano,Córdoba,Julio César Villagra (El Gigante de Alberdi)
Colón,Santa Fe,Brigadier General Estanislao López
Unión,Santa Fe,15 de Abril
Sarmiento,Junín,Eva Perón
Barracas Central,Buenos Aires,Claudio Fabián Tapia
Atlético de Rafaela,Rafaela,Monumental de Rafaela
Independiente Rivadavia,Mendoza,Bautista Gargantini
Talleres,Córdoba,Mario Alberto Kempes
