equipo,ciudad,estadio
Almirante Brown,La Matanza,Fragata Presidente Sarmiento
All Boys,Buenos Aires,Islas Malvinas
Agropecuario,Junín,Ofelia Rosenzuaig
Aldosivi,Mar del Plata,José María Minella
Alvarado,Mar del Plata,José María Minella
Atlético de Rafaela,Rafaela,Monumental de Rafaela
Atlético Güemes,Santiago del Estero,Arturo Miranda
Brown de Adrogué,Adrogué,Lorenzo Arandilla
Chacarita Juniors,San Martín,Chacarita Juniors
Defensores de Belgrano,Buenos Aires,Juan Pasquale
Deportivo Maipú,Mendoza,Omar Higinio Sperdutti
Deportivo Morón,Morón,Francisco Urbano
Estudiantes de Buenos Aires,Caseros,Ciudad de Caseros
Estudiantes de Río Cuarto,Río Cuarto,Antonio Candini
Ferro Carril Oeste,Buenos Aires,Ricardo Etcheverri
Gimnasia y Esgrima de Jujuy,San Salvador de Jujuy,23 de Agosto
Gimnasia y Esgrima de Mendoza,Mendoza,Victor Legrotaglie
Guillermo Brown,Puerto Madryn,Raúl Conti
Independiente Rivadavia,Mendoza,Bautista Gargantini
Mitre,Santiago del Estero,Doctores José y Antonio Castiglione
Nueva Chicago,Buenos Aires,República de Mataderos
Patronato,Paraná,Presbítero Bartolomé Grella
Quilmes,Buenos Aires,Centenario Ciudad de Quilmes
Racing de Córdoba,Córdoba,Miguel Sancho
San Martín de San Juan,San Juan,Ingeniero Hilario Sánchez
San Martín de Tucumán,San Miguel de Tucumán,La Ciudadela
Temperley,Temperley,Alfredo Beranger
Tristán Suárez,Ezeiza,20 de Octubre
Villa Dálmine,Campana,El Coliseo
Deportivo Riestra,Buenos Aires,Guillermo Laza
Brown de Puerto Madryn,Puerto Madryn,Raúl Conti
Atlanta,Villa Crespo,Don León Kolbowski
Chaco For Ever,Resistencia,Juan Alberto García
Deportivo Madryn,Puerto Madryn,Abel Sastre
San Telmo,Buenos Aires,Dr. Osvaldo Baletto
Almagro,José Ingenieros,Tres de Febrero
Estudiantes de Caseros,Caseros,Ciudad de Caseros
Defensores Unidos,Zárate,Mario Losinno
